step: 5700, t: 1, cfl: 0.14, E: 6.967150, Z: 166.2809, W: -106.562611, walltime: 0.16 min
step: 5800, t: 1, cfl: 0.14, E: 7.223882, Z: 168.7992, W: 170.314078, walltime: 0.16 min
step: 5900, t: 1, cfl: 0.13, E: 7.437540, Z: 172.5638, W: 83.523635, walltime: 0.16 min
step: 6000, t: 1, cfl: 0.13, E: 7.681744, Z: 176.2584, W: -23.817307, walltime: 0.16 min
step: 6100, t: 1, cfl: 0.14, E: 7.888793, Z: 181.6150, W: -55.157212, walltime: 0.17 min
step: 6200, t: 1, cfl: 0.16, E: 7.879081, Z: 181.6049, W: -28.124485, walltime: 0.17 min
step: 6300, t: 1, cfl: 0.16, E: 8.376633, Z: 194.4009, W: 31.840808, walltime: 0.17 min
step: 6400, t: 1, cfl: 0.16, E: 8.405536, Z: 195.9460, W: -129.021761, walltime: 0.17 min
step: 6500, t: 1, cfl: 0.16, E: 8.266651, Z: 191.7404, W: 78.482556, walltime: 0.17 min
step: 6600, t: 1, cfl: 0.16, E: 8.360614, Z: 191.7476, W: 73.516253, walltime: 0.17 min
step: 6700, t: 1, cfl: 0.16, E: 8.458287, Z: 191.7857, W: 33.502038, walltime: 0.18 min
step: 6800, t: 1, cfl: 0.17, E: 8.556584, Z: 193.1174, W: -74.618524, walltime: 0.18 min
step: 6900, t: 1, cfl: 0.16, E: 8.836338, Z: 198.4124, W: -98.899919, walltime: 0.18 min
step: 7000, t: 1, cfl: 0.17, E: 9.059491, Z: 203.7173, W: -70.039524, walltime: 0.18 min
step: 7100, t: 1, cfl: 0.17, E: 9.186312, Z: 203.4777, W: 230.258275, walltime: 0.18 min
step: 7200, t: 1, cfl: 0.18, E: 9.436196, Z: 211.2901, W: 165.984264, walltime: 0.18 min
step: 7300, t: 1, cfl: 0.18, E: 9.578589, Z: 215.6566, W: 138.225148, walltime: 0.19 min
step: 7400, t: 1, cfl: 0.17, E: 9.550965, Z: 217.0754, W: -86.130022, walltime: 0.19 min
step: 7500, t: 1, cfl: 0.15, E: 9.284624, Z: 207.8432, W: 36.704140, walltime: 0.19 min
step: 7600, t: 2, cfl: 0.15, E: 9.418194, Z: 210.5243, W: -79.300222, walltime: 0.19 min
step: 7700, t: 2, cfl: 0.15, E: 9.285438, Z: 209.6221, W: -1.572716, walltime: 0.20 min
step: 7800, t: 2, cfl: 0.14, E: 9.388880, Z: 209.2981, W: 124.768285, walltime: 0.20 min
step: 7900, t: 2, cfl: 0.15, E: 9.318728, Z: 207.7993, W: -67.959296, walltime: 0.20 min
step: 8000, t: 2, cfl: 0.17, E: 9.509500, Z: 210.1394, W: -79.844587, walltime: 0.20 min
step: 8100, t: 2, cfl: 0.17, E: 9.664999, Z: 213.0399, W: 84.450785, walltime: 0.20 min
step: 8200, t: 2, cfl: 0.16, E: 9.730693, Z: 210.8946, W: 148.647527, walltime: 0.20 min
step: 8300, t: 2, cfl: 0.16, E: 9.872637, Z: 210.3081, W: 80.722398, walltime: 0.21 min
step: 8400, t: 2, cfl: 0.16, E: 9.872480, Z: 206.9976, W: 26.318271, walltime: 0.21 min
step: 8500, t: 2, cfl: 0.18, E: 9.908787, Z: 206.9626, W: 98.111022, walltime: 0.21 min
step: 8600, t: 2, cfl: 0.18, E: 10.108478, Z: 207.6643, W: -5.318999, walltime: 0.21 min
step: 8700, t: 2, cfl: 0.18, E: 9.928027, Z: 199.5241, W: 1.289197, walltime: 0.21 min
step: 8800, t: 2, cfl: 0.18, E: 9.976671, Z: 198.3772, W: 3.804761, walltime: 0.21 min
step: 8900, t: 2, cfl: 0.18, E: 9.982584, Z: 199.0229, W: 78.695740, walltime: 0.22 min
step: 9000, t: 2, cfl: 0.18, E: 10.077044, Z: 198.9022, W: 225.245345, walltime: 0.22 min
step: 9100, t: 2, cfl: 0.17, E: 10.291998, Z: 200.0202, W: 107.338788, walltime: 0.22 min
step: 9200, t: 2, cfl: 0.17, E: 10.561714, Z: 204.4885, W: -33.692318, walltime: 0.22 min
step: 9300, t: 2, cfl: 0.15, E: 10.519263, Z: 200.3486, W: -68.923368, walltime: 0.22 min
step: 9400, t: 2, cfl: 0.14, E: 10.595663, Z: 201.2584, W: -67.514758, walltime: 0.23 min
step: 9500, t: 2, cfl: 0.15, E: 10.864061, Z: 207.3584, W: 112.131997, walltime: 0.23 min
step: 9600, t: 2, cfl: 0.14, E: 10.835554, Z: 207.7099, W: 87.478863, walltime: 0.23 min
step: 9700, t: 2, cfl: 0.15, E: 11.028765, Z: 211.7888, W: 164.733881, walltime: 0.23 min
step: 9800, t: 2, cfl: 0.16, E: 11.228783, Z: 216.2454, W: 91.535598, walltime: 0.23 min
step: 9900, t: 2, cfl: 0.15, E: 11.236278, Z: 214.6101, W: 189.871999, walltime: 0.23 min
step: 10000, t: 2, cfl: 0.15, E: 11.568192, Z: 219.0885, W: -109.784743, walltime: 0.24 min
step: 10100, t: 2, cfl: 0.15, E: 11.762069, Z: 223.4619, W: 191.104790, walltime: 0.24 min
step: 10200, t: 2, cfl: 0.15, E: 11.916660, Z: 224.7078, W: -36.531807, walltime: 0.24 min
step: 10300, t: 2, cfl: 0.14, E: 11.847477, Z: 220.8797, W: 94.385513, walltime: 0.24 min
step: 10400, t: 2, cfl: 0.15, E: 11.682985, Z: 215.8321, W: -111.049764, walltime: 0.24 min
step: 10500, t: 2, cfl: 0.14, E: 11.667315, Z: 216.1410, W: 90.792726, walltime: 0.24 min
step: 10600, t: 2, cfl: 0.15, E: 11.677629, Z: 214.5792, W: 121.886508, walltime: 0.25 min
step: 10700, t: 2, cfl: 0.15, E: 11.922890, Z: 219.6366, W: 170.211085, walltime: 0.25 min
step: 10800, t: 2, cfl: 0.15, E: 12.072260, Z: 220.3874, W: 29.789613, walltime: 0.25 min
step: 10900, t: 2, cfl: 0.16, E: 12.333813, Z: 225.1616, W: 184.103291, walltime: 0.25 min
step: 11000, t: 2, cfl: 0.18, E: 12.482532, Z: 228.3882, W: 199.524750, walltime: 0.25 min
step: 11100, t: 2, cfl: 0.19, E: 12.647161, Z: 228.9297, W: 15.714378, walltime: 0.26 min
step: 11200, t: 2, cfl: 0.19, E: 12.761213, Z: 226.4190, W: -48.375171, walltime: 0.26 min
step: 11300, t: 2, cfl: 0.19, E: 12.786723, Z: 227.1708, W: 71.757964, walltime: 0.26 min
step: 11400, t: 2, cfl: 0.18, E: 12.869370, Z: 226.3534, W: 16.752692, walltime: 0.26 min
step: 11500, t: 2, cfl: 0.17, E: 13.099396, Z: 230.2453, W: -163.050327, walltime: 0.26 min
step: 11600, t: 2, cfl: 0.18, E: 13.144595, Z: 228.4318, W: 118.555609, walltime: 0.27 min
step: 11700, t: 2, cfl: 0.19, E: 13.097766, Z: 226.7404, W: 79.968467, walltime: 0.27 min
step: 11800, t: 2, cfl: 0.17, E: 13.304877, Z: 229.9209, W: 111.388842, walltime: 0.27 min
step: 11900, t: 2, cfl: 0.17, E: 13.285884, Z: 232.1674, W: 24.328686, walltime: 0.27 min
step: 12000, t: 2, cfl: 0.17, E: 13.268577, Z: 229.1518, W: 1.772508, walltime: 0.27 min
step: 12100, t: 2, cfl: 0.18, E: 13.459799, Z: 233.7515, W: 122.299027, walltime: 0.27 min
step: 12200, t: 2, cfl: 0.18, E: 13.280793, Z: 230.0827, W: 2.535398, walltime: 0.28 min
step: 12300, t: 2, cfl: 0.20, E: 13.375609, Z: 228.5706, W: -34.311563, walltime: 0.28 min
step: 12400, t: 2, cfl: 0.21, E: 13.578390, Z: 233.6357, W: 188.640505, walltime: 0.28 min
step: 12500, t: 2, cfl: 0.21, E: 13.488343, Z: 230.2645, W: 23.040137, walltime: 0.28 min
step: 12600, t: 3, cfl: 0.20, E: 13.574157, Z: 228.5066, W: -80.149871, walltime: 0.28 min
step: 12700, t: 3, cfl: 0.18, E: 13.560928, Z: 225.4190, W: 0.816589, walltime: 0.28 min
step: 12800, t: 3, cfl: 0.18, E: 13.754780, Z: 227.5002, W: -18.762414, walltime: 0.29 min
step: 12900, t: 3, cfl: 0.18, E: 13.808188, Z: 226.0506, W: -90.002382, walltime: 0.29 min
step: 13000, t: 3, cfl: 0.17, E: 13.669677, Z: 218.8763, W: 39.357256, walltime: 0.29 min
step: 13100, t: 3, cfl: 0.17, E: 13.795925, Z: 219.1607, W: 119.398730, walltime: 0.29 min
step: 13200, t: 3, cfl: 0.18, E: 13.802714, Z: 217.6957, W: 16.485681, walltime: 0.29 min
step: 13300, t: 3, cfl: 0.17, E: 13.850354, Z: 218.9790, W: 71.143459, walltime: 0.30 min
step: 13400, t: 3, cfl: 0.16, E: 13.732421, Z: 215.4480, W: 28.181260, walltime: 0.30 min
step: 13500, t: 3, cfl: 0.17, E: 14.293056, Z: 226.0489, W: 30.472207, walltime: 0.30 min
step: 13600, t: 3, cfl: 0.17, E: 14.602655, Z: 231.1627, W: 228.502921, walltime: 0.30 min
step: 13700, t: 3, cfl: 0.18, E: 14.530860, Z: 232.1272, W: 30.159037, walltime: 0.30 min
step: 13800, t: 3, cfl: 0.19, E: 14.599173, Z: 233.0550, W: -81.932940, walltime: 0.31 min
step: 13900, t: 3, cfl: 0.20, E: 14.335078, Z: 224.0538, W: -21.477616, walltime: 0.31 min
step: 14000, t: 3, cfl: 0.21, E: 14.441518, Z: 223.5481, W: -75.532163, walltime: 0.31 min
step: 14100, t: 3, cfl: 0.19, E: 14.455578, Z: 223.9042, W: -2.267291, walltime: 0.31 min
step: 14200, t: 3, cfl: 0.19, E: 14.602843, Z: 225.6938, W: -26.896243, walltime: 0.31 min
step: 14300, t: 3, cfl: 0.19, E: 14.524674, Z: 222.1605, W: -103.110022, walltime: 0.31 min
step: 14400, t: 3, cfl: 0.19, E: 14.452829, Z: 218.1354, W: -74.583230, walltime: 0.32 min
step: 14500, t: 3, cfl: 0.19, E: 14.502550, Z: 216.5507, W: 167.335102, walltime: 0.32 min
step: 14600, t: 3, cfl: 0.19, E: 14.547173, Z: 213.6482, W: 71.405248, walltime: 0.32 min
step: 14700, t: 3, cfl: 0.20, E: 14.867643, Z: 219.6224, W: -4.516376, walltime: 0.32 min
step: 14800, t: 3, cfl: 0.19, E: 14.814492, Z: 217.2608, W: 26.117148, walltime: 0.32 min
step: 14900, t: 3, cfl: 0.18, E: 14.973416, Z: 220.2416, W: 149.564451, walltime: 0.33 min
step: 15000, t: 3, cfl: 0.18, E: 14.787065, Z: 214.9031, W: 132.455658, walltime: 0.33 min
step: 15100, t: 3, cfl: 0.19, E: 15.026899, Z: 220.1547, W: -31.642346, walltime: 0.33 min
step: 15200, t: 3, cfl: 0.19, E: 15.261484, Z: 224.4945, W: 44.528236, walltime: 0.33 min
step: 15300, t: 3, cfl: 0.20, E: 15.075852, Z: 219.0133, W: -91.367533, walltime: 0.33 min
step: 15400, t: 3, cfl: 0.19, E: 15.062815, Z: 220.6797, W: -42.670120, walltime: 0.33 min
step: 15500, t: 3, cfl: 0.19, E: 14.902065, Z: 219.7382, W: 26.070513, walltime: 0.34 min
step: 15600, t: 3, cfl: 0.18, E: 14.992803, Z: 217.9965, W: 73.366563, walltime: 0.34 min
step: 15700, t: 3, cfl: 0.18, E: 15.118693, Z: 218.0922, W: -85.045913, walltime: 0.34 min
step: 15800, t: 3, cfl: 0.18, E: 14.963178, Z: 209.2752, W: 117.777534, walltime: 0.34 min
step: 15900, t: 3, cfl: 0.18, E: 15.001682, Z: 207.3169, W: -137.903734, walltime: 0.34 min
step: 16000, t: 3, cfl: 0.19, E: 15.054635, Z: 207.8584, W: -62.186314, walltime: 0.35 min
step: 16100, t: 3, cfl: 0.19, E: 15.155959, Z: 207.5094, W: 22.492119, walltime: 0.35 min
step: 16200, t: 3, cfl: 0.19, E: 15.182820, Z: 207.9946, W: -120.814150, walltime: 0.35 min
step: 16300, t: 3, cfl: 0.18, E: 14.972002, Z: 203.7590, W: 39.724122, walltime: 0.35 min
step: 16400, t: 3, cfl: 0.18, E: 14.540860, Z: 193.7358, W: -5.972017, walltime: 0.35 min
step: 16500, t: 3, cfl: 0.17, E: 14.520780, Z: 196.2447, W: 30.138231, walltime: 0.35 min
step: 16600, t: 3, cfl: 0.16, E: 14.770159, Z: 199.8587, W: -6.352761, walltime: 0.36 min
step: 16700, t: 3, cfl: 0.17, E: 15.009038, Z: 204.9222, W: 172.184349, walltime: 0.36 min
step: 16800, t: 3, cfl: 0.16, E: 14.821461, Z: 200.8315, W: 140.768771, walltime: 0.36 min
step: 16900, t: 3, cfl: 0.16, E: 14.417921, Z: 191.5774, W: 80.510301, walltime: 0.36 min
step: 17000, t: 3, cfl: 0.17, E: 14.395373, Z: 187.9006, W: 44.261380, walltime: 0.36 min
step: 17100, t: 3, cfl: 0.16, E: 14.547626, Z: 189.8147, W: 3.756103, walltime: 0.37 min
step: 17200, t: 3, cfl: 0.16, E: 14.614207, Z: 191.9215, W: 71.120006, walltime: 0.37 min
step: 17300, t: 3, cfl: 0.17, E: 14.711439, Z: 194.0441, W: 32.497712, walltime: 0.37 min
step: 17400, t: 3, cfl: 0.16, E: 14.273817, Z: 182.9562, W: -31.784087, walltime: 0.37 min
step: 17500, t: 3, cfl: 0.16, E: 14.140566, Z: 179.9876, W: 6.788195, walltime: 0.37 min
step: 17600, t: 4, cfl: 0.16, E: 14.355621, Z: 184.6088, W: -1.996307, walltime: 0.37 min
step: 17700, t: 4, cfl: 0.15, E: 14.466254, Z: 184.6740, W: -23.160882, walltime: 0.38 min
step: 17800, t: 4, cfl: 0.16, E: 14.375809, Z: 180.5631, W: -34.103683, walltime: 0.38 min
step: 17900, t: 4, cfl: 0.16, E: 14.525438, Z: 184.3759, W: 93.519765, walltime: 0.38 min
step: 18000, t: 4, cfl: 0.16, E: 14.574354, Z: 187.9381, W: 117.598380, walltime: 0.38 min
step: 18100, t: 4, cfl: 0.17, E: 14.594076, Z: 186.3771, W: 29.467013, walltime: 0.38 min
step: 18200, t: 4, cfl: 0.18, E: 14.766886, Z: 191.1471, W: -88.421880, walltime: 0.38 min
step: 18300, t: 4, cfl: 0.18, E: 14.989277, Z: 196.5016, W: 130.068857, walltime: 0.39 min
step: 18400, t: 4, cfl: 0.18, E: 14.971529, Z: 198.3773, W: -12.600390, walltime: 0.39 min
step: 18500, t: 4, cfl: 0.17, E: 15.137901, Z: 202.1485, W: 132.790948, walltime: 0.39 min
step: 18600, t: 4, cfl: 0.17, E: 15.207312, Z: 201.6642, W: -50.294046, walltime: 0.39 min
step: 18700, t: 4, cfl: 0.18, E: 15.360827, Z: 201.9860, W: 42.974207, walltime: 0.40 min
step: 18800, t: 4, cfl: 0.16, E: 15.484159, Z: 203.8517, W: -132.805823, walltime: 0.40 min
step: 18900, t: 4, cfl: 0.16, E: 15.489355, Z: 203.5065, W: -6.489205, walltime: 0.40 min
step: 19000, t: 4, cfl: 0.16, E: 15.373966, Z: 200.1142, W: 24.167001, walltime: 0.40 min
step: 19100, t: 4, cfl: 0.16, E: 15.527192, Z: 204.1199, W: 46.852837, walltime: 0.40 min
step: 19200, t: 4, cfl: 0.17, E: 15.808531, Z: 211.1408, W: 48.890303, walltime: 0.40 min
step: 19300, t: 4, cfl: 0.17, E: 15.959270, Z: 213.9776, W: 52.205954, walltime: 0.41 min
step: 19400, t: 4, cfl: 0.18, E: 16.172376, Z: 217.5083, W: -176.430929, walltime: 0.41 min
step: 19500, t: 4, cfl: 0.17, E: 16.034237, Z: 212.5724, W: 21.959829, walltime: 0.41 min
step: 19600, t: 4, cfl: 0.16, E: 16.108917, Z: 211.5946, W: -5.278915, walltime: 0.41 min
step: 19700, t: 4, cfl: 0.16, E: 16.076097, Z: 210.9552, W: -16.497976, walltime: 0.41 min
step: 19800, t: 4, cfl: 0.18, E: 16.111577, Z: 212.7921, W: 26.631943, walltime: 0.41 min
step: 19900, t: 4, cfl: 0.17, E: 16.296667, Z: 217.1924, W: 59.324018, walltime: 0.42 min
step: 20000, t: 4, cfl: 0.19, E: 16.262882, Z: 214.4893, W: -78.353905, walltime: 0.42 min
step: 20100, t: 4, cfl: 0.20, E: 16.217219, Z: 212.7492, W: 77.210867, walltime: 0.42 min
step: 20200, t: 4, cfl: 0.20, E: 16.138925, Z: 208.3276, W: -11.568208, walltime: 0.42 min
step: 20300, t: 4, cfl: 0.21, E: 16.076173, Z: 204.5989, W: -97.584271, walltime: 0.43 min
step: 20400, t: 4, cfl: 0.21, E: 16.094823, Z: 204.4160, W: -22.281035, walltime: 0.43 min
step: 20500, t: 4, cfl: 0.21, E: 16.143003, Z: 206.1334, W: 118.136667, walltime: 0.43 min
step: 20600, t: 4, cfl: 0.20, E: 16.178803, Z: 203.8185, W: -63.776325, walltime: 0.43 min
step: 20700, t: 4, cfl: 0.20, E: 16.221482, Z: 201.2977, W: 14.061800, walltime: 0.43 min
step: 20800, t: 4, cfl: 0.21, E: 16.378889, Z: 201.3710, W: 27.655401, walltime: 0.43 min
step: 20900, t: 4, cfl: 0.22, E: 16.714476, Z: 210.3166, W: 189.754106, walltime: 0.44 min
step: 21000, t: 4, cfl: 0.21, E: 16.714221, Z: 209.3213, W: 5.940359, walltime: 0.44 min
step: 21100, t: 4, cfl: 0.19, E: 16.662191, Z: 205.9655, W: 51.516317, walltime: 0.44 min
step: 21200, t: 4, cfl: 0.18, E: 16.550673, Z: 202.8680, W: -6.687490, walltime: 0.44 min
step: 21300, t: 4, cfl: 0.19, E: 16.680386, Z: 206.7866, W: -124.878041, walltime: 0.44 min
step: 21400, t: 4, cfl: 0.18, E: 16.656619, Z: 202.0918, W: -57.088725, walltime: 0.44 min
step: 21500, t: 4, cfl: 0.19, E: 16.557379, Z: 198.5905, W: 53.532825, walltime: 0.45 min
step: 21600, t: 4, cfl: 0.19, E: 16.728202, Z: 202.2864, W: 119.041199, walltime: 0.45 min
step: 21700, t: 4, cfl: 0.19, E: 16.510763, Z: 195.8323, W: -29.236893, walltime: 0.45 min
step: 21800, t: 4, cfl: 0.19, E: 16.585977, Z: 193.9068, W: 14.840640, walltime: 0.45 min
step: 21900, t: 4, cfl: 0.20, E: 16.719110, Z: 195.0182, W: 223.158410, walltime: 0.45 min
step: 22000, t: 4, cfl: 0.20, E: 16.773483, Z: 191.9927, W: -30.128992, walltime: 0.46 min
step: 22100, t: 4, cfl: 0.20, E: 16.939703, Z: 193.7870, W: 110.791377, walltime: 0.46 min
step: 22200, t: 4, cfl: 0.17, E: 16.967603, Z: 194.6225, W: 132.615773, walltime: 0.46 min
step: 22300, t: 4, cfl: 0.19, E: 17.245585, Z: 197.4141, W: 296.467331, walltime: 0.46 min
step: 22400, t: 4, cfl: 0.17, E: 17.334230, Z: 198.4466, W: 119.730434, walltime: 0.46 min
step: 22500, t: 5, cfl: 0.17, E: 17.231587, Z: 193.6778, W: -52.413659, walltime: 0.46 min
step: 22600, t: 5, cfl: 0.18, E: 17.274551, Z: 192.3566, W: -24.811703, walltime: 0.47 min
step: 22700, t: 5, cfl: 0.18, E: 17.629877, Z: 199.5492, W: -72.533092, walltime: 0.47 min
step: 22800, t: 5, cfl: 0.18, E: 17.541531, Z: 198.8654, W: 37.050512, walltime: 0.47 min
step: 22900, t: 5, cfl: 0.18, E: 17.682746, Z: 203.7987, W: 21.743877, walltime: 0.47 min
step: 23000, t: 5, cfl: 0.18, E: 17.715963, Z: 205.8582, W: -55.419561, walltime: 0.47 min
step: 23100, t: 5, cfl: 0.18, E: 17.328330, Z: 198.8200, W: -111.536678, walltime: 0.48 min
step: 23200, t: 5, cfl: 0.19, E: 17.480012, Z: 203.8709, W: 75.849097, walltime: 0.48 min
step: 23300, t: 5, cfl: 0.19, E: 17.303594, Z: 201.4830, W: 8.374169, walltime: 0.48 min
step: 23400, t: 5, cfl: 0.19, E: 17.314747, Z: 199.7457, W: 22.456331, walltime: 0.48 min
step: 23500, t: 5, cfl: 0.20, E: 17.431847, Z: 203.5474, W: -29.884351, walltime: 0.48 min
step: 23600, t: 5, cfl: 0.19, E: 17.269924, Z: 201.0933, W: 62.337921, walltime: 0.48 min
step: 23700, t: 5, cfl: 0.19, E: 17.484857, Z: 206.4322, W: 5.103731, walltime: 0.49 min
step: 23800, t: 5, cfl: 0.17, E: 17.430170, Z: 206.5388, W: 30.995336, walltime: 0.49 min
step: 23900, t: 5, cfl: 0.16, E: 17.191408, Z: 202.6295, W: 167.522334, walltime: 0.49 min
step: 24000, t: 5, cfl: 0.17, E: 16.910219, Z: 196.0196, W: -36.699962, walltime: 0.49 min
step: 24100, t: 5, cfl: 0.17, E: 16.796492, Z: 194.3904, W: 137.865644, walltime: 0.49 min
step: 24200, t: 5, cfl: 0.18, E: 16.833601, Z: 196.3124, W: 47.825158, walltime: 0.50 min
step: 24300, t: 5, cfl: 0.18, E: 17.063332, Z: 201.7906, W: -82.337040, walltime: 0.50 min
step: 24400, t: 5, cfl: 0.18, E: 16.758656, Z: 194.0512, W: 14.309091, walltime: 0.50 min
step: 24500, t: 5, cfl: 0.20, E: 16.852545, Z: 196.4052, W: 100.718528, walltime: 0.50 min
step: 24600, t: 5, cfl: 0.20, E: 16.946067, Z: 200.7513, W: 79.056731, walltime: 0.50 min
step: 24700, t: 5, cfl: 0.21, E: 17.015641, Z: 202.2045, W: -24.070424, walltime: 0.51 min
step: 24800, t: 5, cfl: 0.21, E: 16.999680, Z: 201.1047, W: -17.905149, walltime: 0.51 min
