step: 1425, t: 0, cfl: 0.25, E: 18.6557, Z: 203.0617, W: 31.6412, walltime: 0.08 min
step: 1450, t: 0, cfl: 0.25, E: 18.5950, Z: 202.1034, W: 96.1383, walltime: 0.08 min
step: 1475, t: 0, cfl: 0.26, E: 18.6334, Z: 203.0664, W: -87.9616, walltime: 0.08 min
step: 1500, t: 0, cfl: 0.26, E: 18.6160, Z: 202.8068, W: -33.3311, walltime: 0.08 min
step: 1525, t: 0, cfl: 0.26, E: 18.6086, Z: 201.1106, W: 114.0586, walltime: 0.08 min
step: 1550, t: 0, cfl: 0.26, E: 18.5689, Z: 201.3212, W: 6.2813, walltime: 0.08 min
step: 1575, t: 0, cfl: 0.26, E: 18.6340, Z: 203.1280, W: 92.3459, walltime: 0.08 min
step: 1600, t: 0, cfl: 0.27, E: 18.7708, Z: 204.9531, W: 18.7211, walltime: 0.08 min
step: 1625, t: 0, cfl: 0.28, E: 18.9140, Z: 207.9695, W: 76.9832, walltime: 0.08 min
step: 1650, t: 0, cfl: 0.28, E: 18.8977, Z: 209.2579, W: 22.9882, walltime: 0.08 min
step: 1675, t: 0, cfl: 0.29, E: 18.9070, Z: 208.9309, W: -77.0841, walltime: 0.08 min
step: 1700, t: 0, cfl: 0.28, E: 18.8454, Z: 208.4315, W: -76.1429, walltime: 0.08 min
step: 1725, t: 0, cfl: 0.29, E: 18.8032, Z: 207.3318, W: -183.2215, walltime: 0.09 min
step: 1750, t: 0, cfl: 0.29, E: 18.7289, Z: 205.7781, W: -152.1074, walltime: 0.09 min
step: 1775, t: 0, cfl: 0.29, E: 18.7246, Z: 204.8085, W: 78.2228, walltime: 0.09 min
step: 1800, t: 0, cfl: 0.29, E: 18.7883, Z: 206.0720, W: 111.3118, walltime: 0.09 min
step: 1825, t: 0, cfl: 0.30, E: 18.7552, Z: 205.0528, W: -68.4563, walltime: 0.09 min
step: 1850, t: 0, cfl: 0.29, E: 18.7419, Z: 205.0724, W: 72.7990, walltime: 0.09 min
step: 1875, t: 0, cfl: 0.29, E: 18.6756, Z: 204.4121, W: 65.0670, walltime: 0.09 min
step: 1900, t: 0, cfl: 0.29, E: 18.7076, Z: 205.1990, W: -4.7044, walltime: 0.09 min
step: 1925, t: 0, cfl: 0.28, E: 18.8639, Z: 207.9077, W: 94.0361, walltime: 0.09 min
step: 1950, t: 0, cfl: 0.28, E: 18.9190, Z: 209.8161, W: 48.6615, walltime: 0.09 min
step: 1975, t: 0, cfl: 0.28, E: 18.9894, Z: 210.7108, W: -69.4893, walltime: 0.09 min
step: 2000, t: 0, cfl: 0.27, E: 18.9266, Z: 209.0359, W: -12.6979, walltime: 0.09 min
step: 2025, t: 0, cfl: 0.26, E: 18.9997, Z: 210.7047, W: -20.1614, walltime: 0.09 min
step: 2050, t: 0, cfl: 0.27, E: 19.0321, Z: 212.4063, W: 100.6325, walltime: 0.09 min
step: 2075, t: 0, cfl: 0.26, E: 19.0711, Z: 212.7717, W: 99.0468, walltime: 0.09 min
step: 2100, t: 0, cfl: 0.26, E: 19.1965, Z: 215.5980, W: 11.6735, walltime: 0.09 min
step: 2125, t: 0, cfl: 0.27, E: 19.2848, Z: 218.0176, W: 26.1872, walltime: 0.09 min
step: 2150, t: 0, cfl: 0.26, E: 19.3259, Z: 219.3164, W: 10.6916, walltime: 0.09 min
step: 2175, t: 0, cfl: 0.27, E: 19.4203, Z: 221.6869, W: 56.1169, walltime: 0.09 min
step: 2200, t: 0, cfl: 0.26, E: 19.3914, Z: 220.7858, W: 52.3039, walltime: 0.09 min
step: 2225, t: 0, cfl: 0.27, E: 19.3368, Z: 220.2828, W: 21.0945, walltime: 0.10 min
step: 2250, t: 0, cfl: 0.27, E: 19.3476, Z: 220.3053, W: -18.5151, walltime: 0.10 min
step: 2275, t: 0, cfl: 0.27, E: 19.3148, Z: 218.9932, W: -31.1479, walltime: 0.10 min
step: 2300, t: 0, cfl: 0.27, E: 19.3133, Z: 220.5279, W: 29.6312, walltime: 0.10 min
step: 2325, t: 0, cfl: 0.27, E: 19.2756, Z: 219.6652, W: -42.5254, walltime: 0.10 min
step: 2350, t: 0, cfl: 0.26, E: 19.1489, Z: 217.8854, W: -27.8415, walltime: 0.10 min
step: 2375, t: 0, cfl: 0.26, E: 19.2508, Z: 219.9873, W: 79.3348, walltime: 0.10 min
step: 2400, t: 0, cfl: 0.26, E: 19.2749, Z: 219.2503, W: 78.3514, walltime: 0.10 min
step: 2425, t: 0, cfl: 0.26, E: 19.3557, Z: 221.6843, W: 114.5185, walltime: 0.10 min
step: 2450, t: 0, cfl: 0.26, E: 19.3555, Z: 222.7271, W: -56.7067, walltime: 0.10 min
step: 2475, t: 0, cfl: 0.26, E: 19.2129, Z: 218.5580, W: -22.1980, walltime: 0.10 min
step: 2500, t: 0, cfl: 0.26, E: 19.2844, Z: 220.2593, W: -92.9056, walltime: 0.10 min
step: 2525, t: 1, cfl: 0.26, E: 19.3665, Z: 221.3157, W: 87.8494, walltime: 0.10 min
step: 2550, t: 1, cfl: 0.26, E: 19.3872, Z: 222.7846, W: 2.4917, walltime: 0.10 min
step: 2575, t: 1, cfl: 0.26, E: 19.5484, Z: 227.2438, W: 65.3862, walltime: 0.10 min
step: 2600, t: 1, cfl: 0.26, E: 19.5709, Z: 228.2148, W: -0.8556, walltime: 0.10 min
step: 2625, t: 1, cfl: 0.27, E: 19.6966, Z: 229.7587, W: 29.0909, walltime: 0.10 min
step: 2650, t: 1, cfl: 0.27, E: 19.7423, Z: 229.8584, W: 177.9345, walltime: 0.10 min
step: 2675, t: 1, cfl: 0.28, E: 19.7248, Z: 229.2830, W: 11.2308, walltime: 0.10 min
step: 2700, t: 1, cfl: 0.29, E: 19.7900, Z: 231.1211, W: 68.6224, walltime: 0.11 min
step: 2725, t: 1, cfl: 0.28, E: 19.9002, Z: 233.7245, W: 82.4167, walltime: 0.11 min
step: 2750, t: 1, cfl: 0.28, E: 19.9479, Z: 235.8980, W: 141.0233, walltime: 0.11 min
step: 2775, t: 1, cfl: 0.28, E: 19.9991, Z: 236.8409, W: 45.6728, walltime: 0.11 min
step: 2800, t: 1, cfl: 0.28, E: 20.0654, Z: 238.3966, W: -7.4864, walltime: 0.11 min
step: 2825, t: 1, cfl: 0.28, E: 20.1988, Z: 238.8718, W: 153.0785, walltime: 0.11 min
step: 2850, t: 1, cfl: 0.27, E: 20.2286, Z: 238.4476, W: 6.9992, walltime: 0.11 min
step: 2875, t: 1, cfl: 0.28, E: 20.1190, Z: 236.4031, W: -5.0211, walltime: 0.11 min
step: 2900, t: 1, cfl: 0.28, E: 20.0577, Z: 235.6176, W: -105.1943, walltime: 0.11 min
step: 2925, t: 1, cfl: 0.28, E: 20.0549, Z: 234.4241, W: 35.7902, walltime: 0.11 min
step: 2950, t: 1, cfl: 0.28, E: 20.1006, Z: 235.6822, W: -80.4980, walltime: 0.11 min
step: 2975, t: 1, cfl: 0.28, E: 20.0282, Z: 233.0413, W: -169.6317, walltime: 0.11 min
step: 3000, t: 1, cfl: 0.28, E: 20.0106, Z: 231.1852, W: 134.0470, walltime: 0.11 min
step: 3025, t: 1, cfl: 0.27, E: 19.9417, Z: 229.6349, W: 57.8152, walltime: 0.11 min
step: 3050, t: 1, cfl: 0.27, E: 19.9576, Z: 230.2290, W: -18.4937, walltime: 0.11 min
step: 3075, t: 1, cfl: 0.27, E: 19.9776, Z: 231.0495, W: 0.9427, walltime: 0.11 min
step: 3100, t: 1, cfl: 0.26, E: 19.8875, Z: 227.9486, W: 46.7413, walltime: 0.11 min
step: 3125, t: 1, cfl: 0.27, E: 20.0268, Z: 231.5971, W: 44.2127, walltime: 0.11 min
step: 3150, t: 1, cfl: 0.26, E: 19.9027, Z: 228.2834, W: 74.9339, walltime: 0.11 min
step: 3175, t: 1, cfl: 0.26, E: 19.9286, Z: 228.8871, W: -155.4311, walltime: 0.12 min
step: 3200, t: 1, cfl: 0.27, E: 19.9988, Z: 230.7707, W: 37.9803, walltime: 0.12 min
step: 3225, t: 1, cfl: 0.27, E: 19.9692, Z: 230.0852, W: -11.6310, walltime: 0.12 min
step: 3250, t: 1, cfl: 0.27, E: 19.9177, Z: 228.7027, W: -1.8007, walltime: 0.12 min
step: 3275, t: 1, cfl: 0.28, E: 19.8311, Z: 227.4627, W: -75.6226, walltime: 0.12 min
step: 3300, t: 1, cfl: 0.28, E: 19.8265, Z: 227.3299, W: 44.7914, walltime: 0.12 min
step: 3325, t: 1, cfl: 0.28, E: 19.8373, Z: 227.8255, W: 208.3383, walltime: 0.12 min
step: 3350, t: 1, cfl: 0.29, E: 19.8980, Z: 229.2344, W: -60.5446, walltime: 0.12 min
step: 3375, t: 1, cfl: 0.29, E: 19.7244, Z: 226.1384, W: -89.9031, walltime: 0.12 min
step: 3400, t: 1, cfl: 0.29, E: 19.5887, Z: 222.4502, W: -94.2344, walltime: 0.12 min
step: 3425, t: 1, cfl: 0.29, E: 19.5252, Z: 221.0248, W: -12.4300, walltime: 0.12 min
step: 3450, t: 1, cfl: 0.30, E: 19.5708, Z: 221.2998, W: -74.1984, walltime: 0.12 min
step: 3475, t: 1, cfl: 0.30, E: 19.3902, Z: 217.8492, W: 34.0494, walltime: 0.12 min
step: 3500, t: 1, cfl: 0.30, E: 19.4829, Z: 220.5662, W: -94.3315, walltime: 0.12 min
step: 3525, t: 1, cfl: 0.31, E: 19.4875, Z: 221.5198, W: 124.3069, walltime: 0.12 min
step: 3550, t: 1, cfl: 0.32, E: 19.5497, Z: 222.4902, W: -51.0992, walltime: 0.12 min
step: 3575, t: 1, cfl: 0.32, E: 19.3694, Z: 219.1209, W: -117.2261, walltime: 0.12 min
step: 3600, t: 1, cfl: 0.33, E: 19.4029, Z: 219.5549, W: -25.8884, walltime: 0.12 min
step: 3625, t: 1, cfl: 0.33, E: 19.5458, Z: 222.0369, W: 91.6774, walltime: 0.12 min
step: 3650, t: 1, cfl: 0.33, E: 19.4780, Z: 220.1031, W: -25.3683, walltime: 0.13 min
